28/05/2010;SYD MATTERS + MY GIRLFRIEND IS BETTER THAN YOURS + THOS HENLEY + GDERW
18/06/2010;BRUITS DE LUNE
18/06/2010;PIRATE SHOCKING CLUB #2: STEREOHEROES + 2FRESHHH ET DJ100GEN + NASSER 
09/10/2010;I LOVE MY CAMPUS : LA CAVASKA + Lisa a Peur
14/10/2010;SHIKO SHIKO + HEADWAR + KOONDA HOLAA
16/10/2010;NUIT BLANCHE / WHITE NIGHT 2010 
26/10/2010;TUNNG + Alice Lewis
29/10/2010;PAUL DI'ANNO & COVERSLAVE > IRON MAIDEN TRIBUTE
11/11/2010;FESTIVAL PICARDIE MOUV': THE WARLOCKS + MOLLY'S + MARK GARDENER
12/11/2010;CARIBOU + Karaocake
16/11/2010;BRUITS DE LUNE
18/11/2010;THE JIM JONES REVUE + P.M. Cursed Beat
25/11/2010;LILLY WOOD & THE PRICK + [Cascadeur > Annulé]
26/11/2010;FESTIVAL DU FILM OFF: HK & LES SALTIMBANKS + Délicieuse Alexandra
01/12/2010;LUTTE CONTRE LE SIDA: ETIENNE JAUMET + CHERRY BOOP AND THE SOUND MAKER
02/12/2010;LE CLUB DES CHATS | COMPLET
03/12/2010;LE CLUB DES CHATS
09/12/2010;DANI + Pierre Souchon + Paul & Louise 
13/12/2010;FREDRIKA STAHL
14/12/2010;BRUITS DE LUNE
18/12/2010;KANKA + Kaom + Dark Side Project
28/01/2011;TURNSTEAK + DEBMASTER + dDAMAGE 
29/01/2011;Sortie d'album: DELICIEUSE ALEXANDRA + La Tartine
04/02/2011;Sortie d'album: ARYTHMYTHIQUE + Marc Drouard / Raphaël Dumont
05/02/2011;AMIENS BURNING : I AM UN CHIEN + THE BEYONDERS + SOBO
12/02/2011;PONEY EXPRESS + Oh La La !
17/02/2011;DSC + Malos
23/02/2011;NUIT DE L'ALLIGATOR : C.W STONEKING + Puta Madre Brothers
04/03/2011;BERTRAND BELIN + Séverin
11/03/2011;PROLIFIK SCRATCH BATTLE + PULPALICIOUS
15/03/2011;BRUITS DE LUNE
17/03/2011;SYD MATTERS + Nathaniel Isaac Smog
19/03/2011;NAO NOISE : THE CNK + Kernaoth + Moonwrath
24/03/2011;TREMPLIN MUSIQUES DE RU
26/03/2011;LES FEMMES S'EN MELENT: THE PACK AD + The Big Crunch Theory
30/03/2011;FESTIVAL DE JAZZ: JOY
31/03/2011;FESTIVAL DE JAZZ: ALBIN DE LA SIMONE
01/04/2011;FESTIVAL DE JAZZ: DEZ MONA
02/04/2011;FESTIVAL DE JAZZ: BENZINE + SOO-BIN 
06/04/2011;MAM
08/04/2011;D.S.C. + OREGONE + ARYTHMHYTIQUE
12/04/2011;THE LOVE ME NOTS + Twin Twisters
13/04/2011;BLITZ THE AMBASSADOR + Mantras Crew
14/04/2011;L'ODYSSÉE DE RICK LE CUBE
15/04/2011;L'ODYSSÉE DE RICK LE CUBE
19/04/2011;BRUITS DE LUNE
30/04/2011;CITÉ CARTER : ALTERED BEAST + Toxin
06/05/2011;ARNAUD REBOTINI + THE NAME + DAG ROX + BEATBOX
11/05/2011;WHOMADEWHO + The Violent Scaredy Cats
17/05/2011;DECALAGE SONORE.2 - BRUITS DE LUNE AU GRAND WAZOO
19/05/2011;DECALAGE SONORE.2: HUSHPUPPIES + John Morillion
20/05/2011;DECALAGE SONORE #2 : MYRA LEE + THE AMPLIFETES + MARKLION
21/05/2011;DECALAGE SONORE #2: SUUNS + LAB°
24/05/2011;MUSIQUE EN HERBE
28/05/2011;RECYCLING PARTY : THE ENJOYS + ROYAL SWAN + BLUE
10/06/2011;CITIZEN PARTY: FUKKK OFF + DINAMICS + AUDREY KATZ + PDR&CO
21/06/2011;FETE DE LA MUSIQUE
06/10/2011;I LOVE MY CAMPUS | CONCERT DE RENTREE 
07/10/2011;MONDKOPF + Christine + Arka
14/10/2011; NUIT BLANCHE - WHITE NIGHT OUVERTURE
15/10/2011;NUIT BLANCHE - WHITE NIGHT 2011
20/10/2011;NAO NOÏSE : LOUDBLAST + ASHURA + ALTERED BEAST
22/10/2011;ROYAL REPUBLIC + Tracer + Les Poulidoors
26/10/2011;DELS + IconAclass
27/10/2011;LYNX LYNX + PURPLE MONKEY WASHING MACHINE
30/10/2011;CULTS + François Crimon
03/11/2011;CHOKEBORE + Greenshape
04/11/2011;PICARDIE MOUV : SOUTH CENTRAL + JANSKI BEEEATS + NASTEEN
05/11/2011;BUKOWSKI + ZOE + CITADELLE DELUXE
07/11/2011;AUDITIONS PICARDIE - DECOUVERTES PRINTEMPS DE BOURGES
12/11/2011;Zaffaire Mix: Tribal Jâze + Gilbert Pounia + Alex Sorrès + Gérard Clara
